spotify_id,name,artists,country,popularity,danceability,energy,loudness,acousticness,instrumentalness,valence,tempo,mood
35D1RA5uVFVhMc1qX80TaQ,Balloon (feat. Doechii),"Tyler, The Creator, Doechii",US,82,0.437,0.868,-3.03,0.731,0.0,0.475,111.774,neutral
2Qcbspnftnon37jibwyvMU,I'll Be There,Jin,worldwide,89,0.538,0.738,-2.412,0.0351,0.0,0.736,148.887,happy
3yDRcs0Y4pPzkvMbUfeF9H,Moonlit Floor (Kiss Me),LISA,worldwide,89,0.733,0.786,-3.951,0.128,0.0,0.672,109.954,energetic
1YdtGoSYDvVQKoUqSDXX41,Noid,"Tyler, The Creator",US,84,0.38,0.784,-6.004,0.523,0.000139,0.418,82.318,neutral
42VsgItocQwOQC3XWZ8JNA,FE!N (feat. Playboi Carti),"Travis Scott, Playboi Carti",worldwide,89,0.569,0.882,-2.777,0.0316,0.0,0.201,148.038,neutral
0io16MKpbeDIdYzmGpQaES,Embrace It,Ndotz,GB,88,0.882,0.645,-7.233,0.475,4.13e-05,0.788,114.933,happy
32Ntc293aQMjuCWauefLoS,مهرجان لعبالي في دماغي,Moamen Moaa,EG,53,0.89,0.969,0.279,0.0338,0.0,0.875,111.091,happy
1uFW6czrHk5PsK3s6gOI7C,Se Fue,"Rauw Alejandro, Laura Pausini",worldwide,72,0.689,0.743,-2.817,0.0694,0.0,0.138,119.957,energetic
0Q8Euy3FFXICoogr0Qo1Sh,بلاش كرفات,"Kalosha, Eslam Kabonga",EG,48,0.801,0.85,-2.114,0.312,2.55e-06,0.85,106.999,happy
2OzhQlSqBEmt7hmkYxfT6m,Fortnight (feat. Post Malone),"Taylor Swift, Post Malone",CA,84,0.504,0.386,-10.976,0.502,1.53e-05,0.281,192.004,sad
5mFZipkX1HZ4Idz5LOWpzq,Cut the Bridge,Linkin Park,worldwide,71,0.622,0.936,-2.72,0.0212,3.09e-06,0.743,75.024,happy
